year,month,day,avg_air_temp,avg_rel_hum
2018,7,10,79.2,74.4
2018,7,11,76.1,66.3
2018,7,12,75.8,68.6
2018,7,13,76.9,71.4
2018,7,14,73.9,84.5
2018,7,15,76.7,84.6
2018,7,16,80.3,76.6
2018,7,17,77.6,61.7
2018,7,18,72.2,56.8
2018,7,19,74.1,66.8
2018,7,20,74.7,72.1
2018,7,21,71.6,81.3
2018,7,22,71.8,83.9
2018,7,23,73.3,74.1
2018,7,24,76.4,68.9
2018,7,25,76,63.5
2018,7,26,72.5,71
2018,7,27,68.6,69.1
2018,7,28,69.1,68.3
2018,7,29,63.9,88.6
2018,7,30,68,85.3
2018,7,31,68.4,83
2018,8,1,71.2,74.4
2018,8,2,74.6,74.9
2018,8,3,77.4,78.3
2018,8,4,78.8,75
2018,8,5,79.3,77.1
2018,8,6,79.9,79.8
2018,8,7,73.9,84.1
2018,8,8,75.7,78.1
2018,8,9,76.7,74.3
2018,8,10,77.9,74.6
2018,8,11,76.3,73.9
2018,8,12,76.7,68
2018,8,13,76,66.3
2018,8,14,75.6,71.9
2018,8,15,73,89.7
2018,8,16,77.1,84
2018,8,17,74.4,84.3
2018,8,18,75.5,77.9
2018,8,19,75.8,78.3
2018,8,20,73.6,86
2018,8,21,70.7,87.4
2018,8,22,68.4,66.6
2018,8,23,68.1,68.6
2018,8,24,62.7,90.1
2018,8,25,75.7,85.1
2018,8,26,81.7,80.5
2018,8,27,81.5,74.9
2018,8,28,82,73.8
2018,8,29,72.8,83.2
2018,8,30,70.9,71
2018,8,31,74.6,78.1
2018,9,1,77.2,81
2018,9,2,79,76.1
2018,9,3,80.6,73.4
2018,9,4,80.7,70.7
2018,9,5,81.3,68.2
2018,9,6,75,81.4
2018,9,7,68.7,95.7
2018,9,8,61.8,91.8
2018,9,9,62.4,79.3
2018,9,10,66.5,71.1
2018,9,11,68.3,73.4
2018,9,12,68.1,71.6
2018,9,13,70.2,70.5
2018,9,14,75.9,65.3
2018,9,15,77.1,63.2
2018,9,16,77.9,69.5
2018,9,17,79.5,64.4
2018,9,18,78.6,63.1
2018,9,19,78,71.8
2018,9,20,80.9,69.9
2018,9,21,73.1,64.9
2018,9,22,58.8,69.4
2018,9,23,64.1,65.7
2018,9,24,67,83.3
2018,9,25,72.6,88.4
2018,9,26,60.7,64.5
2018,9,27,58.4,66.9
2018,9,28,58.6,67.7
2018,9,29,53.6,71.3
2018,9,30,68,71.4
2018,10,1,71.1,73.7
2018,10,2,71.8,82.4
2018,10,3,76.6,73.2
2018,10,4,66.4,70.2
