,1,77.9774193548387,1,24.570967741935483
0,2,82.15714285714286,2,33.275
1,3,69.85806451612905,3,38.36451612903226
2,4,65.10999999999999,4,46.05666666666666
3,5,67.92258064516129,5,72.18387096774192
4,6,79.73000000000002,6,75.13000000000002
5,7,75.50322580645162,7,74.69999999999997
6,8,77.74838709677421,8,75.11290322580646
7,9,72.83,9,70.75333333333333
8,10,73.97741935483872,10,54.43548387096775
9,11,82.00333333333333,11,35.406666666666666
10,12,84.14838709677417,12,34.03225806451613
